Genotype;Milieu;Plate;Id;PR length;Tortuosity;RootArea;LR length;Grouping;Plants/group;distanceFromHypocotyl std (cm);ShootArea;Chlorophyll (a.u)
Col_0;Milieu_4;Plate_1;D1_6;5.186;1.116;0.274;14.5;3;2;1.799;0.034;0.657
Col_0;Milieu_4;Plate_1;D1_7;8.229;1.149;0.397;15;4;10;2.515;0.349;7.566
Col_0;Milieu_4;Plate_1;D1_8;10.914;1.132;0.397;15;4;10;2.515;0.229;5.085
Col_0;Milieu_4;Plate_1;D1_9;8.511;1.119;0.397;15;4;10;2.515;0.228;4.427
Col_0;Milieu_4;Plate_1;D1_10;6.996;1.110;0.397;15;4;10;2.515;0.101;1.948
Col_0;Milieu_4;Plate_1;D1_11;8.326;1.142;0.397;15;4;10;2.515;0.356;7.834
Col_0;Milieu_4;Plate_1;D1_12;10.303;1.123;0.397;15;4;10;2.515;0.313;7.265
Col_0;Milieu_4;Plate_1;D1_13;8.103;1.123;0.397;15;4;10;2.515;0.125;2.400
Col_0;Milieu_4;Plate_1;D1_14;10.854;1.223;0.397;15;4;10;2.515;0.269;5.251
Col_0;Milieu_4;Plate_1;D1_15;8.486;1.161;0.397;15;4;10;2.515;0.110;2.321
Col_0;Milieu_4;Plate_1;D1_16;8.272;1.140;0.397;15;4;10;2.515;0.301;6.022
Col_0;Milieu_4;Plate_2;D2_1;8.157;1.151;0.304;12.6;1;5;2.148;0.199;4.338
Col_0;Milieu_4;Plate_2;D2_2;9.149;1.126;0.391;15;2;1;2.570;0.388;7.436
Col_0;Milieu_4;Plate_2;D2_3;8.188;1.322;0.304;12.6;1;5;2.148;0.322;7.372
Col_0;Milieu_4;Plate_2;D2_4;5.422;1.209;0.304;12.6;1;5;2.148;0.198;3.985
Col_0;Milieu_4;Plate_2;D2_5;5.182;1.115;0.304;12.6;1;5;2.148;0.172;3.565
Col_0;Milieu_4;Plate_2;D2_6;8.219;1.158;0.304;12.6;1;5;2.148;0.275;5.836
Col_0;Milieu_4;Plate_2;D2_7;8.116;1.116;0.399;15.3;3;10;2.846;0.189;3.894
Col_0;Milieu_4;Plate_2;D2_8;8.456;1.112;0.399;15.3;3;10;2.846;0.108;2.190
Col_0;Milieu_4;Plate_2;D2_9;10.677;1.100;0.399;15.3;3;10;2.846;0.326;5.467
Col_0;Milieu_4;Plate_2;D2_10;8.365;1.145;0.399;15.3;3;10;2.846;0.172;3.667
Col_0;Milieu_4;Plate_2;D2_11;10.808;1.124;0.399;15.3;3;10;2.846;0.275;4.659
Col_0;Milieu_4;Plate_2;D2_12;10.196;1.117;0.399;15.3;3;10;2.846;0.177;3.607
Col_0;Milieu_4;Plate_2;D2_13;7.718;1.112;0.399;15.3;3;10;2.846;0.242;4.817
Col_0;Milieu_4;Plate_2;D2_14;11.599;1.268;0.399;15.3;3;10;2.846;0.255;3.919
Col_0;Milieu_4;Plate_2;D2_15;2.645;1.202;0.399;15.3;3;10;2.846;0.101;2.023
Col_0;Milieu_4;Plate_2;D2_16;8.163;1.120;0.399;15.3;3;10;2.846;0.256;5.406
Col_0;Milieu_5;Plate_1;E1_1;3.328;1.092;0.085;0;2;1;0.000;0.053;0.609
Col_0;Milieu_5;Plate_1;E1_2;4.796;1.078;0.135;4;1;1;0.203;0.055;0.748
Col_0;Milieu_5;Plate_1;E1_3;7.124;1.088;0.340;10;3;1;1.573;0.223;3.531
Col_0;Milieu_5;Plate_1;E1_4;3.486;1.061;0.042;0;4;1;0.000;0.080;0.859
Col_0;Milieu_5;Plate_1;E1_5;3.661;1.060;0.100;2;5;1;0.130;0.047;0.624
Col_0;Milieu_5;Plate_1;E1_6;2.217;1.053;0.027;1;6;1;0.000;0.045;0.499
Col_0;Milieu_5;Plate_1;E1_7;2.746;1.069;0.072;1.5;7;2;0.481;0.035;0.311
Col_0;Milieu_5;Plate_1;E1_8;3.269;1.056;0.072;1.5;7;2;0.481;0.155;2.956
Col_0;Milieu_5;Plate_1;E1_9;1.918;1.076;0.034;0;8;1;0.000;0.032;0.293
Col_0;Milieu_5;Plate_1;E1_10;4.307;1.107;0.066;1;9;1;0.000;0.292;4.603
Col_0;Milieu_5;Plate_1;E1_11;3.56;1.052;0.035;0;11;1;0.000;0.138;2.715
Col_0;Milieu_5;Plate_1;E1_12;1.375;1.059;0.025;0;10;1;0.000;0.021;0.153
Col_0;Milieu_5;Plate_1;E1_13;1.488;1.023;0.026;1;12;1;0.000;0.042;0.416
Col_0;Milieu_5;Plate_1;E1_14;4.375;1.056;0.048;1;13;1;0.000;0.113;2.101
Col_0;Milieu_5;Plate_1;E1_15;4.457;1.045;0.160;4;14;1;0.621;0.083;1.339
Col_0;Milieu_5;Plate_1;E1_16;2.049;1.044;0.024;1;15;1;0.000;0.040;0.432
Col_0;Milieu_5;Plate_1;E1_17;5.235;1.045;0.182;7;17;1;1.402;0.095;1.410
Col_0;Milieu_5;Plate_1;E1_18;4.885;1.051;0.156;4;18;1;0.267;0.049;0.621
Col_0;Milieu_5;Plate_1;E1_19;2.586;1.062;0.081;1;16;1;0.000;0.029;0.361
Col_0;Milieu_5;Plate_1;E1_20;2.626;1.063;0.074;1;19;1;0.000;0.029;0.332
Col_0;Milieu_5;Plate_2;E2_1;4.365;1.076;0.117;4;1;1;0.309;0.122;2.081
Col_0;Milieu_5;Plate_2;E2_2;0.107;1.071;0.003;0;2;1;0.000;0.011;0.127
Col_0;Milieu_5;Plate_2;E2_3;5.829;1.072;0.199;5;3;1;0.831;0.231;4.187
Col_0;Milieu_5;Plate_2;E2_4;3.467;1.071;0.108;3;5;1;1.331;0.098;1.484
Col_0;Milieu_5;Plate_2;E2_5;3.724;1.053;0.113;5;4;1;0.746;0.089;1.475
Col_0;Milieu_5;Plate_2;E2_6;0.103;1.031;0.005;0;6;1;0.000;0.008;0.074
Col_0;Milieu_5;Plate_2;E2_7;3.937;1.057;0.096;1;7;1;0.000;0.063;0.860
Col_0;Milieu_5;Plate_2;E2_8;1.551;1.060;0.020;0;8;1;0.000;0.037;0.433
Col_0;Milieu_5;Plate_2;E2_9;4.87;1.050;0.122;2;9;1;0.918;0.141;2.467
Col_0;Milieu_5;Plate_2;E2_10;4.444;1.048;0.119;2;10;1;1.412;0.098;1.218
Col_0;Milieu_5;Plate_2;E2_11;0.45;1.071;0.004;0;11;1;0.000;0.018;0.336
Col_0;Milieu_5;Plate_2;E2_12;3.908;1.068;0.062;2;12;1;0.000;0.080;1.359
Col_0;Milieu_5;Plate_2;E2_13;2.146;1.061;0.028;0;13;1;0.000;0.097;1.078
Col_0;Milieu_5;Plate_2;E2_14;5.608;1.075;0.215;8;14;1;1.858;0.203;3.702
Col_0;Milieu_5;Plate_2;E2_15;1.836;1.078;0.029;1;15;1;0.000;0.032;0.361
Col_0;Milieu_5;Plate_2;E2_16;4.416;1.109;0.137;3;16;1;0.564;0.066;1.057
Col_0;Milieu_5;Plate_2;E2_17;1.942;1.111;0.100;3;17;2;1.550;0.071;0.739
Col_0;Milieu_5;Plate_2;E2_18;5.351;1.099;0.100;3;17;2;1.550;0.106;1.482
nrt;Milieu_1;Plate_1;F1_1;11.163;1.102;0.259;10.14;1;7;2.348;0.187;4.250
nrt;Milieu_1;Plate_1;F1_2;7.419;1.082;0.183;5;2;2;1.473;0.132;3.033
nrt;Milieu_1;Plate_1;F1_3;7.537;1.116;0.183;5;2;2;1.473;0.041;0.674
nrt;Milieu_1;Plate_1;F1_4;7.38;1.087;0.259;10.14;1;7;2.348;0.171;3.394
nrt;Milieu_1;Plate_1;F1_5;7.545;1.085;0.259;10.14;1;7;2.348;0.049;0.958
nrt;Milieu_1;Plate_1;F1_6;10.897;1.114;0.259;10.14;1;7;2.348;0.099;2.176
nrt;Milieu_1;Plate_1;F1_7;7.259;1.085;0.259;10.14;1;7;2.348;0.150;2.597
nrt;Milieu_1;Plate_1;F1_8;6.605;1.092;0.259;10.14;1;7;2.348;0.017;0.211
nrt;Milieu_1;Plate_1;F1_9;4.745;1.106;0.259;10.14;1;7;2.348;0.132;2.527
nrt;Milieu_1;Plate_1;F1_10;6.39;1.088;0.189;7.75;3;4;2.274;0.022;0.302
nrt;Milieu_1;Plate_1;F1_11;4.319;1.087;0.189;7.75;3;4;2.274;0.017;0.195
nrt;Milieu_1;Plate_1;F1_12;10.711;1.204;0.189;7.75;3;4;2.274;0.184;3.235
nrt;Milieu_1;Plate_1;F1_13;7.228;1.098;0.189;7.75;3;4;2.274;0.098;1.372
nrt;Milieu_1;Plate_1;F1_14;4.202;1.105;0.167;4.67;4;3;0.872;0.043;0.637
nrt;Milieu_1;Plate_1;F1_15;7.343;1.110;0.167;4.67;4;3;0.872;0.089;1.512
nrt;Milieu_1;Plate_1;F1_16;6.559;1.109;0.167;4.67;4;3;0.872;0.044;0.600
nrt;Milieu_1;Plate_1;F1_17;6.216;1.094;0.137;7;5;1;0.940;0.080;1.040
nrt;Milieu_1;Plate_1;F1_18;2.454;1.128;0.186;8.67;6;3;1.496;0.107;1.652
nrt;Milieu_1;Plate_1;F1_19;5.318;1.136;0.186;8.67;6;3;1.496;0.104;1.466
nrt;Milieu_1;Plate_1;F1_20;4.449;1.208;0.186;8.67;6;3;1.496;0.105;1.583
nrt;Milieu_1;Plate_2;F2_1;10.499;1.117;0.291;13.6;1;5;2.433;0.149;3.648
nrt;Milieu_1;Plate_2;F2_2;7.023;1.115;0.291;13.6;1;5;2.433;0.045;0.945
nrt;Milieu_1;Plate_2;F2_3;7.229;1.114;0.291;13.6;1;5;2.433;0.064;1.242
nrt;Milieu_1;Plate_2;F2_4;10.234;1.099;0.291;13.6;1;5;2.433;0.213;4.404
nrt;Milieu_1;Plate_2;F2_5;6.994;1.107;0.291;13.6;1;5;2.433;0.100;1.737
nrt;Milieu_1;Plate_2;F2_6;10.27;1.098;0.348;14.67;2;9;2.807;0.195;3.866
nrt;Milieu_1;Plate_2;F2_7;1.095;1.041;0.348;14.67;2;9;2.807;0.025;0.267
nrt;Milieu_1;Plate_2;F2_8;10.251;1.103;0.348;14.67;2;9;2.807;0.161;3.119
nrt;Milieu_1;Plate_2;F2_9;7.037;1.091;0.348;14.67;2;9;2.807;0.263;4.364
nrt;Milieu_1;Plate_2;F2_10;7.154;1.105;0.348;14.67;2;9;2.807;0.214;3.332
nrt;Milieu_1;Plate_2;F2_11;10.166;1.080;0.348;14.67;2;9;2.807;0.159;2.985
nrt;Milieu_1;Plate_2;F2_12;10.218;1.095;0.348;14.67;2;9;2.807;0.103;1.752
nrt;Milieu_1;Plate_2;F2_13;7.055;1.091;0.348;14.67;2;9;2.807;0.152;1.866
nrt;Milieu_1;Plate_2;F2_14;10.033;1.059;0.348;14.67;2;9;2.807;0.112;1.786
nrt;Milieu_1;Plate_2;F2_15;8.996;1.077;0.282;13.5;3;2;3.140;0.046;0.525
nrt;Milieu_1;Plate_2;F2_16;7.056;1.101;0.282;13.5;3;2;3.140;0.133;1.728
nrt;Milieu_1;Plate_2;F2_17;7.125;1.093;0.289;13;4;1;2.513;0.104;1.325
nrt;Milieu_1;Plate_2;F2_18;0.822;1.040;0.029;2;5;1;0.000;0.020;0.218
nrt;Milieu_1;Plate_2;F2_19;10.026;1.112;0.379;18;6;2;3.103;0.220;3.604
nrt;Milieu_1;Plate_2;F2_20;4.657;1.094;0.379;18;6;2;3.103;0.189;2.869
nrt;Milieu_1;Plate_3;F3_1;2.948;1.160;0.229;10.63;4;8;2.111;0.163;3.801
nrt;Milieu_1;Plate_3;F3_2;4.498;1.169;0.229;10.63;4;8;2.111;0.054;0.814
nrt;Milieu_1;Plate_3;F3_3;7.755;1.135;0.229;10.63;4;8;2.111;0.076;1.374
nrt;Milieu_1;Plate_3;F3_4;5.359;1.132;0.229;10.63;4;8;2.111;0.055;1.185
nrt;Milieu_1;Plate_3;F3_5;7.856;1.132;0.229;10.63;4;8;2.111;0.054;0.962
nrt;Milieu_1;Plate_3;F3_6;6.277;1.121;0.229;10.63;4;8;2.111;0.074;1.109
nrt;Milieu_1;Plate_3;F3_7;8.198;1.111;0.229;10.63;4;8;2.111;0.201;3.786
nrt;Milieu_1;Plate_3;F3_8;7.24;1.136;0.229;10.63;4;8;2.111;0.307;6.594
nrt;Milieu_1;Plate_3;F3_9;5.906;1.174;0.144;6;3;1;1.472;0.040;0.609
nrt;Milieu_1;Plate_3;F3_10;7.56;1.099;0.384;10;6;1;2.624;0.302;5.507
nrt;Milieu_1;Plate_3;F3_11;1.199;1.161;0.029;3;1;1;0.123;0.018;0.259
nrt;Milieu_1;Plate_3;F3_12;8.564;1.235;0.296;16.8;2;5;2.607;0.101;2.036
nrt;Milieu_1;Plate_3;F3_13;7.361;1.096;0.296;16.8;2;5;2.607;0.040;0.617
nrt;Milieu_1;Plate_3;F3_14;2.65;1.090;0.296;16.8;2;5;2.607;0.029;0.398
nrt;Milieu_1;Plate_3;F3_15;11.115;1.137;0.296;16.8;2;5;2.607;0.226;4.414
nrt;Milieu_1;Plate_3;F3_16;7.528;1.184;0.296;16.8;2;5;2.607;0.060;1.144
nrt;Milieu_1;Plate_3;F3_17;8.599;1.108;0.397;21.5;5;2;2.444;0.103;2.233
nrt;Milieu_1;Plate_3;F3_18;8.072;1.187;0.397;21.5;5;2;2.444;0.091;1.910
nrt;Milieu_2;Plate_1;G1_1;10.706;1.190;0.579;15.33;1;6;2.662;0.062;1.423
nrt;Milieu_2;Plate_1;G1_2;8.094;1.133;0.579;15.33;1;6;2.662;0.096;2.322
nrt;Milieu_2;Plate_1;G1_3;4.849;1.175;0.458;14;2;2;3.315;0.190;4.468
