Class ID;Definitions;decreased_in_magnitude_relative_to;functionally related to
http://purl.obolibrary.org/obo/PATO_0040000;An oriented quality inhering in a bearer by virtue of the bearer's being abnormally placed or arranged.;;
http://purl.obolibrary.org/obo/PATO_0002119;A structural quality which is held by a bearer when the latter exhibits an excessive accumulation of intracellular fluid.;;
http://purl.obolibrary.org/obo/PATO_0002246;A force which is relative low.;;
http://purl.obolibrary.org/obo/PATO_0002229;A quadrangular shape quality inhering in a bearer by virtue of the bearer's being approximately rectangular.;;
http://purl.obolibrary.org/obo/PATO_0002356;A quality of a physical object that has been constantly realizing some of its functions.;;
http://purl.obolibrary.org/obo/PATO_0001794;A shape quality inhering in a bearer by virtue of the bearer's being wound in a continuous series of loops.;;
http://purl.obolibrary.org/obo/PATO_0002012;A texture quality that exists through a liquid cover on the surface of the bearer.;;
http://purl.obolibrary.org/obo/PATO_0000384;A biological sex quality inhering in an individual or a population whose sex organs contain only male gametes.;;
http://purl.obolibrary.org/obo/PATO_0001559;A functionality quality which is held by the bearer when the latter is able to perform additional or different function(s).;;
http://purl.obolibrary.org/obo/PATO_0000367;A directional quality inhering in a bearer by virtue of the bearer's direction that is similar to the direction of an object to the north when it faces west.;;
http://purl.obolibrary.org/obo/PATO_0000050;A time quality inhering in a bearer by virtue of the bearer's expected maximum age.;;
http://purl.obolibrary.org/obo/PATO_0045044;A pressure which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0045061;A width which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0015015;An decrease in illumination.;;
http://purl.obolibrary.org/obo/PATO_0045027;A magnetism which is relatively normal or average.;;
http://purl.obolibrary.org/obo/PATO_0070020;A pyramidal cell morphology that inheres in neurons which lack a tuft formation but extend to small radial distances forming a star-like shape.;;
http://purl.obolibrary.org/obo/PATO_0001298;A fluorescence in which the emittence continues after the absorption has ceased.;;
http://purl.obolibrary.org/obo/PATO_0000017;A scalar chromatic property that is the degree of purity of perceived light.|Color saturation refers to the amount of white light or gray paint mixed in with the hue (single wavelength) and is a measure of color purity.;;
http://purl.obolibrary.org/obo/PATO_0001895;A biological sex quality inhering in an individual or a population that undergo sexual reproduction.;;
http://purl.obolibrary.org/obo/PATO_0001435;A structural quality inhering in a bearer by virtue of the bearer's having connection or association with another entity.;;
http://purl.obolibrary.org/obo/PATO_0001418;A behavioral quality inhering in a bearer by virtue of the bearer's being deficient in alertness or activity.;;
http://purl.obolibrary.org/obo/PATO_0001528;A sound amplitude which is relatively high.;;
